building,date,kBtu
Service Building,2017-01-01T05:00:00.000Z,118460.16728745769
Service Building,2017-02-01T05:00:00.000Z,111852.02272086476
Service Building,2017-03-01T05:00:00.000Z,91720.12435067065
Service Building,2017-04-01T04:00:00.000Z,533020.3657067297
Service Building,2017-05-01T04:00:00.000Z,1412491.637778573
Service Building,2017-06-01T04:00:00.000Z,705415.3111133244
Service Building,2017-07-01T04:00:00.000Z,611248.331042568
Service Building,2017-08-01T04:00:00.000Z,2044399.225075039
Service Building,2017-09-01T04:00:00.000Z,778478.2687336691
Service Building,2017-10-01T04:00:00.000Z,357483.10222943436
Service Building,2017-11-01T04:00:00.000Z,546608.2963690602
Service Building,2017-12-01T05:00:00.000Z,544645.5242564149
Service Building,2018-01-01T05:00:00.000Z,1480805.1629064505
Service Building,2018-02-01T05:00:00.000Z,1307286.999606337
Service Building,2018-03-01T05:00:00.000Z,1216877.1523269967
Service Building,2018-04-01T04:00:00.000Z,1250386.1257327613
Service Building,2018-05-01T04:00:00.000Z,245598.15
Service Building,2018-06-01T04:00:00.000Z,621525.1
Service Building,2018-07-01T04:00:00.000Z,249840.5
Service Building,2018-08-01T04:00:00.000Z,0
Service Building,2018-09-01T04:00:00.000Z,0
Service Building,2018-10-01T04:00:00.000Z,224203.13999999998
Service Building,2018-11-01T04:00:00.000Z,0
Service Building,2018-12-01T05:00:00.000Z,0
Service Building,2019-01-01T05:00:00.000Z,0
Service Building,2019-02-01T05:00:00.000Z,0
Service Building,2019-03-01T05:00:00.000Z,0
Service Building,2019-04-01T04:00:00.000Z,670844.1057756256
Service Building,2019-05-01T04:00:00.000Z,2911303.447357813
Service Building,2019-06-01T04:00:00.000Z,3801449.932728545
Service Building,2019-07-01T04:00:00.000Z,2459761.7211772935
Service Building,2019-08-01T04:00:00.000Z,2683376.4231025022
Service Building,2019-09-01T04:00:00.000Z,3577835.230803336
Service Building,2019-10-01T04:00:00.000Z,447229.403850417
Ritchie Coliseum,2014-10-01T04:00:00.000Z,444794.811403479
Ritchie Coliseum,2014-11-01T04:00:00.000Z,445649.494738549
Ritchie Coliseum,2014-12-01T05:00:00.000Z,377877.7195865111
Ritchie Coliseum,2015-01-01T05:00:00.000Z,242123.24363477473
Ritchie Coliseum,2015-02-01T05:00:00.000Z,180838.1247225
Ritchie Coliseum,2015-03-01T05:00:00.000Z,50782.63518970834
Ritchie Coliseum,2015-04-01T04:00:00.000Z,41413.723435549015
Ritchie Coliseum,2015-05-01T04:00:00.000Z,24128.833275784313
Ritchie Coliseum,2015-06-01T04:00:00.000Z,20296.879294623657
Ritchie Coliseum,2015-07-01T04:00:00.000Z,13755.68645070968
Ritchie Coliseum,2015-08-01T04:00:00.000Z,19123.529810424247
Ritchie Coliseum,2015-09-01T04:00:00.000Z,16577.491580575763
Ritchie Coliseum,2015-10-01T04:00:00.000Z,39340.99662699999
Ritchie Coliseum,2015-11-01T04:00:00.000Z,46902.89466186388
Ritchie Coliseum,2015-12-01T05:00:00.000Z,46079.34620121213
Ritchie Coliseum,2016-01-01T05:00:00.000Z,167520.71742912123
Ritchie Coliseum,2016-02-01T05:00:00.000Z,113353.30225566667
Ritchie Coliseum,2016-03-01T05:00:00.000Z,63547.98405900001
Ritchie Coliseum,2016-04-01T04:00:00.000Z,33211.81930033333
Ritchie Coliseum,2016-05-01T04:00:00.000Z,51151.76436643138
Ritchie Coliseum,2016-06-01T04:00:00.000Z,15906.433733235299
Ritchie Coliseum,2016-07-01T04:00:00.000Z,26879.401753484846
Ritchie Coliseum,2016-08-01T04:00:00.000Z,20856.18690635386
Ritchie Coliseum,2016-09-01T04:00:00.000Z,16806.966324471636
Ritchie Coliseum,2016-10-01T04:00:00.000Z,45522.811226572
Ritchie Coliseum,2016-11-01T04:00:00.000Z,41536.819813619615
Ritchie Coliseum,2016-12-01T05:00:00.000Z,78020.33427014663
Ritchie Coliseum,2017-01-01T05:00:00.000Z,100242.48340092869
Ritchie Coliseum,2017-02-01T05:00:00.000Z,61503.14914806456
Ritchie Coliseum,2017-03-01T05:00:00.000Z,63725.09186882484
Ritchie Coliseum,2017-04-01T04:00:00.000Z,14469.607704250344
Ritchie Coliseum,2017-05-01T04:00:00.000Z,12982.57270453333
Ritchie Coliseum,2017-06-01T04:00:00.000Z,513005.2846360496
Ritchie Coliseum,2017-07-01T04:00:00.000Z,620518.6174071219
Ritchie Coliseum,2017-08-01T04:00:00.000Z,508118.42205623223
Ritchie Coliseum,2017-09-01T04:00:00.000Z,592351.4627811101
Ritchie Coliseum,2017-10-01T04:00:00.000Z,525954.1596804702
Ritchie Coliseum,2017-11-01T04:00:00.000Z,420977.39728845726
Ritchie Coliseum,2017-12-01T05:00:00.000Z,436185.17651973985
Ritchie Coliseum,2018-01-01T05:00:00.000Z,656650.5930502389
Ritchie Coliseum,2018-02-01T05:00:00.000Z,360069.9595110504
Ritchie Coliseum,2018-03-01T05:00:00.000Z,336202.4173631346
Ritchie Coliseum,2018-04-01T04:00:00.000Z,337833.224396072
Ritchie Coliseum,2018-05-01T04:00:00.000Z,35282.95115210406
Ritchie Coliseum,2018-06-01T04:00:00.000Z,1079880.9112301534
Ritchie Coliseum,2018-07-01T04:00:00.000Z,1219124.2521321622
Ritchie Coliseum,2018-08-01T04:00:00.000Z,574521.5883634125
Ritchie Coliseum,2018-09-01T04:00:00.000Z,577729.2602684996
Ritchie Coliseum,2018-10-01T04:00:00.000Z,537479.138296804
Ritchie Coliseum,2018-11-01T04:00:00.000Z,313638.44876329665
Ritchie Coliseum,2018-12-01T05:00:00.000Z,365251.1222841945
Ritchie Coliseum,2019-01-01T05:00:00.000Z,357626.02509139694
Ritchie Coliseum,2019-02-01T05:00:00.000Z,321917.45673766156
Ritchie Coliseum,2019-03-01T05:00:00.000Z,95208.01675764655
Ritchie Coliseum,2019-04-01T04:00:00.000Z,464707.0619529279
Ritchie Coliseum,2019-05-01T04:00:00.000Z,556487.0193469543
Ritchie Coliseum,2019-06-01T04:00:00.000Z,549354.753525166
Ritchie Coliseum,2019-07-01T04:00:00.000Z,474121.40786750877
Ritchie Coliseum,2019-08-01T04:00:00.000Z,450937.5038128206
Ritchie Coliseum,2019-09-01T04:00:00.000Z,417264.8290639411
Ritchie Coliseum,2019-10-01T04:00:00.000Z,19874.01894199095
Building 006,2014-10-01T04:00:00.000Z,54282.05517017135
Building 006,2014-11-01T04:00:00.000Z,74771.89743410419
Building 006,2014-12-01T05:00:00.000Z,66011.2920339526
Building 006,2015-01-01T05:00:00.000Z,20070.494493008995
Building 006,2015-02-01T05:00:00.000Z,19047.587319600927
Building 006,2015-03-01T05:00:00.000Z,19112.75751872231
