State,Abbreviation,Region,Biomass,Geothermal,Solar,Wind,Hydro,HPS,Coal,Petroleum,Gas,Nuclear,Other,RE Generation (MWh),RE Generation (MWh),Total Generation (MWh),of Total Generation,of Total Generation,Petroleum,Gas,Coal,Nuclear,Hydro,Renewables
Louisiana,LA,Southeast,2493390.1210000003,0.0,0.0,0.0,1236351.0,0.0,23075070.557,1815818.9070000001,45313617.00399998,16782077.0,390454.443,2493390.1210000003,3729741.1210000003,91106779.03199998,0.02736777819929549,0.04093812952919761,1815818.9070000001,45313617.00399998,23075070.557,16782077.0,1236351.0,2493390.1210000003
Maine,ME,New England,3637794.872,0.0,0.0,260121.0,4588720.801999999,0.0,72386.00899999999,480670.20399999997,7481944.601000001,0.0,352154.15699999995,3897915.872,8486636.673999999,16873791.645,0.23100414856402596,0.5029478170968609,480670.20399999997,7481944.601000001,72386.00899999999,0.0,4588720.801999999,3897915.872
Maryland,MD,Mid Atlantic,539982.458,0.0,0.0,0.0,1948147.629,0.0,24414551.405000005,346731.8389999999,2070846.02,14550119.0,255891.294,539982.458,2488130.087,44126269.644999996,0.012237210676184726,0.056386594811146315,346731.8389999999,2070846.02,24414551.405000005,14550119.0,1948147.629,539982.458
Massachusetts,MA,New England,1259418.7639999997,0.0,67.335,3797.825,1276194.1520000002,-533636.0,9896296.057,864488.55,21242541.523000002,5396021.0,770711.521,1263283.9239999996,2539478.076,40175900.726999976,0.0314438233154787,0.06320898922107697,864488.55,21242541.523000002,9896296.057,5396021.0,1276194.1520000002,1263283.9239999996
Michigan,MI,Midwest,2250155.2440000004,0.0,0.0,289188.217,1320648.33,-856864.0,67822265.747,379468.9550000001,8244774.757000001,21851009.0,341303.653,2539343.4610000006,3859991.7910000007,101641949.90299998,0.02498322261057933,0.037976365021368724,379468.9550000001,8244774.757000001,67822265.747,21851009.0,1320648.33,2539343.4610000006
Minnesota,MN,Midwest,1543616.9960000003,0.0,0.0,4956986.761,695632.712,0.0,30091455.097000003,60294.689999999995,2559674.6410000003,12393425.0,340463.419,6500603.757,7196236.4690000005,52641549.316,0.12348807817144149,0.13670259638070262,60294.689999999995,2559674.6410000003,30091455.097000003,12393425.0,695632.712,6500603.757
Mississippi,MS,Southeast,1397117.9879999997,0.0,0.0,0.0,0.0,0.0,12970797.358000001,17028.388,23380702.72199999,10998515.0,5205.865,1397117.9879999997,1397117.9879999997,48769367.321,0.02864744951075884,0.02864744951075884,17028.388,23380702.72199999,12970797.358000001,10998515.0,0.0,1397117.9879999997
Missouri,MO,Southeast,56857.101,0.0,0.0,498515.151,1914727.5439999998,566713.0,71848215.112,86777.159,3400527.0160000003,10247116.0,27421.796000000002,555372.252,2470099.7959999996,88646869.879,0.00626499562543003,0.0278644897374448,86777.159,3400527.0160000003,71848215.112,10247116.0,1914727.5439999998,555372.252
Montana,MT,West,100425.45300000001,0.0,0.0,810814.986,9141898.778,0.0,15164571.051,489688.57300000003,81800.43999999999,0.0,110308.0,911240.439,10053139.217,25899507.281000003,0.03518369786395474,0.38815947762739983,489688.57300000003,81800.43999999999,15164571.051,0.0,9141898.778,911240.439
Nebraska,NE,Midwest,60163.014,0.0,0.0,288680.789,401434.221,0.0,23427525.195,24898.845,332466.61600000004,9435142.0,0.0,348843.803,750278.024,33970310.68,0.010269078969754068,0.022086286789297034,24898.845,332466.61600000004,23427525.195,9435142.0,401434.221,348843.803
