building,date,lbs_c02
Service Building,2017-03-01T05:00:00.000Z,14246.67295000025
Service Building,2017-04-01T04:00:00.000Z,82787.84457971055
Service Building,2017-05-01T04:00:00.000Z,214664.9814999155
Service Building,2017-06-01T04:00:00.000Z,106410.72
Service Building,2017-07-01T04:00:00.000Z,92935.05072
Service Building,2017-08-01T04:00:00.000Z,316626.39400000003
Service Building,2017-09-01T04:00:00.000Z,118815.69298600001
Service Building,2017-10-01T04:00:00.000Z,52493.61344
Service Building,2017-11-01T04:00:00.000Z,79313.2633600008
Service Building,2017-12-01T05:00:00.000Z,77100.77736000001
Service Building,2018-01-01T05:00:00.000Z,229725.63
Service Building,2018-02-01T05:00:00.000Z,203057.84
Service Building,2018-03-01T05:00:00.000Z,188380.022
Service Building,2018-04-01T04:00:00.000Z,194219.56
Service Building,2018-05-01T04:00:00.000Z,28831.9845
Service Building,2018-06-01T04:00:00.000Z,72963.913
Service Building,2018-07-01T04:00:00.000Z,29330.015
Service Building,2018-08-01T04:00:00.000Z,0
Service Building,2018-09-01T04:00:00.000Z,0
Service Building,2018-10-01T04:00:00.000Z,26320.318199999998
Service Building,2018-11-01T04:00:00.000Z,0
Service Building,2018-12-01T05:00:00.000Z,0
Service Building,2019-01-01T05:00:00.000Z,0
Service Building,2019-02-01T05:00:00.000Z,0
Service Building,2019-03-01T05:00:00.000Z,0
Service Building,2019-04-01T04:00:00.000Z,104200.65000000001
Service Building,2019-05-01T04:00:00.000Z,452042.3948987524
Service Building,2019-06-01T04:00:00.000Z,590470.35
Service Building,2019-07-01T04:00:00.000Z,382069.05000000005
Service Building,2019-08-01T04:00:00.000Z,416802.60000000003
Service Building,2019-09-01T04:00:00.000Z,555736.8
Service Building,2019-10-01T04:00:00.000Z,69467.1
Ritchie Coliseum,2014-10-01T04:00:00.000Z,66300.094375
Ritchie Coliseum,2014-11-01T04:00:00.000Z,64329.35560545678
Ritchie Coliseum,2014-12-01T05:00:00.000Z,53073.67637654321
Ritchie Coliseum,2015-01-01T05:00:00.000Z,28907.893142
Ritchie Coliseum,2015-02-01T05:00:00.000Z,21224.302499999998
Ritchie Coliseum,2015-03-01T05:00:00.000Z,5956.395875
Ritchie Coliseum,2015-04-01T04:00:00.000Z,4857.394529411764
Ritchie Coliseum,2015-05-01T04:00:00.000Z,2827.591470588235
Ritchie Coliseum,2015-06-01T04:00:00.000Z,2380.1064516129027
Ritchie Coliseum,2015-07-01T04:00:00.000Z,1611.1975483870967
Ritchie Coliseum,2015-08-01T04:00:00.000Z,2241.3069090909094
Ritchie Coliseum,2015-09-01T04:00:00.000Z,1942.170090909091
Ritchie Coliseum,2015-10-01T04:00:00.000Z,4613.604714285713
Ritchie Coliseum,2015-11-01T04:00:00.000Z,5523.275213714287
Ritchie Coliseum,2015-12-01T05:00:00.000Z,5405.455454545455
Ritchie Coliseum,2016-01-01T05:00:00.000Z,19661.513545454545
Ritchie Coliseum,2016-02-01T05:00:00.000Z,13302.452999999998
Ritchie Coliseum,2016-03-01T05:00:00.000Z,7455.5830000000005
Ritchie Coliseum,2016-04-01T04:00:00.000Z,3894.5289999999995
Ritchie Coliseum,2016-05-01T04:00:00.000Z,6000.2930588235295
Ritchie Coliseum,2016-06-01T04:00:00.000Z,1864.117941176471
Ritchie Coliseum,2016-07-01T04:00:00.000Z,3151.8431818181816
Ritchie Coliseum,2016-08-01T04:00:00.000Z,2444.906011730205
Ritchie Coliseum,2016-09-01T04:00:00.000Z,1969.374427141268
Ritchie Coliseum,2016-10-01T04:00:00.000Z,5339.844908722108
Ritchie Coliseum,2016-11-01T04:00:00.000Z,4890.862605814041
Ritchie Coliseum,2016-12-01T05:00:00.000Z,9154.624369501465
Ritchie Coliseum,2017-01-01T05:00:00.000Z,11763.317022587631
Ritchie Coliseum,2017-02-01T05:00:00.000Z,7215.2490092165945
Ritchie Coliseum,2017-03-01T05:00:00.000Z,7475.758357736515
Ritchie Coliseum,2017-04-01T04:00:00.000Z,1694.084464792227
Ritchie Coliseum,2017-05-01T04:00:00.000Z,1582.68606060606
Ritchie Coliseum,2017-06-01T04:00:00.000Z,79293.35057239064
Ritchie Coliseum,2017-07-01T04:00:00.000Z,95994.541495901
Ritchie Coliseum,2017-08-01T04:00:00.000Z,78270.75305797136
Ritchie Coliseum,2017-09-01T04:00:00.000Z,90778.76734657731
Ritchie Coliseum,2017-10-01T04:00:00.000Z,79987.66910643237
Ritchie Coliseum,2017-11-01T04:00:00.000Z,61890.13212618906
Ritchie Coliseum,2017-12-01T05:00:00.000Z,60526.6787814087
Ritchie Coliseum,2018-01-01T05:00:00.000Z,100919.39544117649
Ritchie Coliseum,2018-02-01T05:00:00.000Z,52270.098125000004
Ritchie Coliseum,2018-03-01T05:00:00.000Z,48993.3359467769
Ritchie Coliseum,2018-04-01T04:00:00.000Z,51669.045286
Ritchie Coliseum,2018-05-01T04:00:00.000Z,4321.403355255174
Ritchie Coliseum,2018-06-01T04:00:00.000Z,164649.5531974158
Ritchie Coliseum,2018-07-01T04:00:00.000Z,186837.5210241919
Ritchie Coliseum,2018-08-01T04:00:00.000Z,87452.43280251833
Ritchie Coliseum,2018-09-01T04:00:00.000Z,87728.2315185939
Ritchie Coliseum,2018-10-01T04:00:00.000Z,79679.34407151211
Ritchie Coliseum,2018-11-01T04:00:00.000Z,44916.30647930978
Ritchie Coliseum,2018-12-01T05:00:00.000Z,50737.67361636726
Ritchie Coliseum,2019-01-01T05:00:00.000Z,49778.21583132433
Ritchie Coliseum,2019-02-01T05:00:00.000Z,45310.91215599266
Ritchie Coliseum,2019-03-01T05:00:00.000Z,13913.951625000002
Ritchie Coliseum,2019-04-01T04:00:00.000Z,69567.7769016129
Ritchie Coliseum,2019-05-01T04:00:00.000Z,83299.1869233871
Ritchie Coliseum,2019-06-01T04:00:00.000Z,81555.95875
Ritchie Coliseum,2019-07-01T04:00:00.000Z,71264.9309625
Ritchie Coliseum,2019-08-01T04:00:00.000Z,69539.6775
Ritchie Coliseum,2019-09-01T04:00:00.000Z,64812.77250000001
Ritchie Coliseum,2019-10-01T04:00:00.000Z,3086.985
Building 006,2014-10-01T04:00:00.000Z,8431.505000000001
