name,area,built,renovated,longitude,latitude,image
Somerset Hall,31196,1949,1999,-76.94557172,38.98502381,https://terpfootprints.umd.edu/images/buildings/somerset_hall_063.png
Dorchester Hall,35436,1959,1992,-76.94616306,38.98674231,https://terpfootprints.umd.edu/images/buildings/dorchester_hall_064.png
Carroll Hall,26470.17,1955,1970,-76.94560873,38.98398767,https://terpfootprints.umd.edu/images/buildings/carroll_hall_065.png
Eppley Recreation Center,233420.91,1998,1970,-76.94528695,38.99360849,https://terpfootprints.umd.edu/images/buildings/eppley_recreation_center_068.png
Wicomico Hall,27684.01,1955,1970,-76.94582188,38.983733720000004,https://terpfootprints.umd.edu/images/buildings/wicomico_hall_069.png
Caroline Hall,26959.07,1955,1970,-76.94583209,38.98348149,https://terpfootprints.umd.edu/images/buildings/caroline_hall_070.png
Lee Building,42185.3,1969,1970,-76.93949488,38.98535895,https://terpfootprints.umd.edu/images/buildings/lee_building_071.png
H.j. Patterson Hall,118110.77,1937,2017,-76.94351541,38.98697234,https://terpfootprints.umd.edu/images/buildings/h_j_patterson_hall_073.png
Symons Hall,78248.05,1940,2000,-76.94076836,38.98707978,https://terpfootprints.umd.edu/images/buildings/symons_hall_076.png
Main Administration Building,41298.72,1940,1964,-76.93979445,38.9860158,https://terpfootprints.umd.edu/images/buildings/main_administration_building_077.png
Reckord Armory,78615,1944,1970,-76.93894174,38.98602904,https://terpfootprints.umd.edu/images/buildings/reckord_armory_078.png
Turner Hall,25666.27,1923,1964,-76.93731954,38.98614661,https://terpfootprints.umd.edu/images/buildings/turner_hall_079.png
Rossborough Inn,11558.37,1798,1970,-76.93768516,38.98530312,https://terpfootprints.umd.edu/images/buildings/rossborough_inn_080.png
Wind Tunnel Building,31566.58,1950,1970,-76.9368613,38.98988165,https://terpfootprints.umd.edu/images/buildings/wind_tunnel_building_081.png
John S. Toll Physics Building,230557.8,1953,1968,-76.94008,38.98867731,https://terpfootprints.umd.edu/images/buildings/john_s_toll_physics_building_082.png
J.m. Patterson Building,79247.9,1954,1976,-76.9402451,38.99050999,https://terpfootprints.umd.edu/images/buildings/j_m_patterson_building_083.png
William E. Kirwan Hall,138852.05,1954,1982,-76.93920387,38.98863065,https://terpfootprints.umd.edu/images/buildings/william_e_kirwan_hall_084.png
Institute For Physical Science & Tech,28534.29,1955,1970,-76.94098774,38.99092385,https://terpfootprints.umd.edu/images/buildings/institute_for_physical_science_tech_085.png
Central Animal Resources Facility,7162.84,1983,1970,-76.93837727,38.99169655,https://terpfootprints.umd.edu/images/buildings/central_animal_resources_facility_087.png
Martin Hall,158843.45,1950,1985,-76.93798776,38.98889806,https://terpfootprints.umd.edu/images/buildings/martin_hall_088.png
Engineering Laboratory Building,85042.54,1950,1970,-76.93796759,38.98929867,https://terpfootprints.umd.edu/images/buildings/engineering_laboratory_building_089.png
Chemical & Nuclear Engineering Building,84877.19,1950,1970,-76.93921644,38.99058501,https://terpfootprints.umd.edu/images/buildings/chemical_nuclear_engineering_building_090.png
Chemistry Building,398391.59,1952,2002,-76.93965888,38.98959398,https://terpfootprints.umd.edu/images/buildings/chemistry_building_091.png
Engineering Annex,10888.46,1957,1969,-76.93694324,38.99071133,https://terpfootprints.umd.edu/images/buildings/engineering_annex_093.png
Cambridge Hall,55792,1962,2016,-76.94303926,38.9917163,https://terpfootprints.umd.edu/images/buildings/cambridge_hall_096.png
Cambridge Community Center,40153.97,1962,1963,-76.94304089,38.9922039,https://terpfootprints.umd.edu/images/buildings/cambridge_community_center_097.png
Centreville Hall,128198,1962,1970,-76.94211076,38.99225105,https://terpfootprints.umd.edu/images/buildings/centreville_hall_098.png
Bel Air Hall,29090,1962,1970,-76.94262314,38.99280739,https://terpfootprints.umd.edu/images/buildings/bel_air_hall_099.png
Agriculture Shed,2321.76,1938,1970,-76.94074554,38.99198557,https://terpfootprints.umd.edu/images/buildings/agriculture_shed_102.png
Animal Science Service Building,1396.83,1940,1970,-76.94109343,38.99200338,https://terpfootprints.umd.edu/images/buildings/animal_science_service_building_103.png
Horse Barn,6918.54,1938,1970,-76.94080848,38.99168234,https://terpfootprints.umd.edu/images/buildings/horse_barn_108.png
Sheep Barn,6151.96,1938,1970,-76.94146703,38.99167619,https://terpfootprints.umd.edu/images/buildings/sheep_barn_109.png
Cattle Barn,8064.35,1938,1970,-76.94045945,38.99239946,https://terpfootprints.umd.edu/images/buildings/cattle_barn_110.png
Physics Welding Shop,974.93,1970,1970,-76.93986153,38.98914088,https://terpfootprints.umd.edu/images/buildings/physics_welding_shop_111.png
A.v. Williams Building,236043.76,1988,1992,-76.9365261,38.99077389,https://terpfootprints.umd.edu/images/buildings/a_v_williams_building_115.png
Residential Facilities Building 116,1419.47,1987,1970,-76.93270882,38.98344604,https://terpfootprints.umd.edu/images/buildings/residential_facilities_building_116_116.png
Poultry Barn,1026.24,1949,1970,-76.94089889,38.99229501,https://terpfootprints.umd.edu/images/buildings/poultry_barn_119.png
Chestertown Hall,29090,1962,1970,-76.94345911,38.99280774,https://terpfootprints.umd.edu/images/buildings/chestertown_hall_121.png
Cumberland Hall,124486,1963,1970,-76.94397454,38.99225327,https://terpfootprints.umd.edu/images/buildings/cumberland_hall_122.png
Grounds Material & Equipment Building,7371.65,1988,1970,-76.94333984,38.995636,https://terpfootprints.umd.edu/images/buildings/grounds_material_equipment_building_124.png
House 1,10594,1958,1992,-76.93667951,38.98467832,https://terpfootprints.umd.edu/images/buildings/house_1_126.png
House 2,9144,1958,1992,-76.93619403,38.98462653,https://terpfootprints.umd.edu/images/buildings/house_2_127.png
House 3,9464,1954,1991,-76.93562792,38.98462511,https://terpfootprints.umd.edu/images/buildings/house_3_128.png
House 4,9464,1954,1991,-76.93514117,38.9846241,https://terpfootprints.umd.edu/images/buildings/house_4_129.png
House 5,9464,1954,1990,-76.93463331,38.98458514,https://terpfootprints.umd.edu/images/buildings/house_5_130.png
House 6,9464,1954,1990,-76.93418659,38.98431152,https://terpfootprints.umd.edu/images/buildings/house_6_131.png
House 7,9464,1954,1990,-76.93404755,38.98394035,https://terpfootprints.umd.edu/images/buildings/house_7_132.png
House 8,9464,1954,1998,-76.93418928,38.98356889,https://terpfootprints.umd.edu/images/buildings/house_8_133.png
House 9,9464,1954,1997,-76.93463834,38.9832972,https://terpfootprints.umd.edu/images/buildings/house_9_134.png
House 10,9464,1954,1997,-76.93514751,38.98326111,https://terpfootprints.umd.edu/images/buildings/house_10_135.png
House 11,9464,1954,1995,-76.93563225,38.98326193,https://terpfootprints.umd.edu/images/buildings/house_11_136.png
House 12,9464,1954,1995,-76.93619935,38.98326374,https://terpfootprints.umd.edu/images/buildings/house_12_137.png
House 13,10624,1962,1993,-76.93669776,38.98326267,https://terpfootprints.umd.edu/images/buildings/house_13_138.png
House 14,10690,1963,1993,-76.93719881,38.98321404,https://terpfootprints.umd.edu/images/buildings/house_14_139.png
Health Center,55852.33,1964,2004,-76.94466193,38.98719487,https://terpfootprints.umd.edu/images/buildings/health_center_140.png
Tawes Hall,164610.4,1965,2016,-76.94815327,38.98594742,https://terpfootprints.umd.edu/images/buildings/tawes_hall_141.png
Animal Sciences/agric. Engrg Bldg,195449.77,1970,1994,-76.93947754,38.9916418,https://terpfootprints.umd.edu/images/buildings/animal_sciences_agric_engrg_bldg_142.png
Benjamin Building,112224.83,1966,1968,-76.94738051,38.98669349,https://terpfootprints.umd.edu/images/buildings/benjamin_building_143.png
Biology-psychology Building,242067.07,1971,1970,-76.94260223,38.9888426,https://terpfootprints.umd.edu/images/buildings/biology_psychology_building_144.png
Architecture Building,70150.35,1972,1970,-76.94763369,38.98431406,https://terpfootprints.umd.edu/images/buildings/architecture_building_145.png
Parren J. Mitchell Art-sociology Building,159309.35,1976,1970,-76.94764622,38.98521433,https://terpfootprints.umd.edu/images/buildings/parren_j_mitchell_art_sociology_building_146.png
Hornbake Library,279985.81,1972,1970,-76.94157514,38.98816441,https://terpfootprints.umd.edu/images/buildings/hornbake_library_147.png
Manufacturing Building,22149.65,1992,1970,-76.93942525,38.99286373,https://terpfootprints.umd.edu/images/buildings/manufacturing_building_148.png
Arboretum Outreach Center,2512,1952,1970,-76.94873158,38.99192972,https://terpfootprints.umd.edu/images/buildings/arboretum_outreach_center_156.png
Varsity Sports Teamhouse,22857.04,1974,1978,-76.94518737,38.99005653,https://terpfootprints.umd.edu/images/buildings/varsity_sports_teamhouse_158.png
Bob 'turtle' Smith Stadium At Shipley Field,2640.26,1954,1970,-76.94456292,38.98884701,https://terpfootprints.umd.edu/images/buildings/bob_turtle_smith_stadium_at_shipley_field_159.png
Cole Student Activities Building,206645.47,1956,1971,-76.94666871,38.98800195,https://terpfootprints.umd.edu/images/buildings/cole_student_activities_building_162.png
Stamp Student Union,290173,1955,2002,-76.94473508,38.9881255,https://terpfootprints.umd.edu/images/buildings/stamp_student_union_163.png
University House,15133.47,2012,1970,-76.95277175,38.98903508,https://terpfootprints.umd.edu/images/buildings/university_house_164.png
Golf Course Driv. Range Cont. Bldg.,1131.11,1966,1970,-76.95501064,38.99079006,https://terpfootprints.umd.edu/images/buildings/golf_course_driv_range_cont_bldg_165.png
Golf Course Club House,25771.53,1999,1970,-76.95470394,38.99113487,https://terpfootprints.umd.edu/images/buildings/golf_course_club_house_166.png
Golf Course Maintenance Office,864,1967,1970,-76.95307899,38.99769058,https://terpfootprints.umd.edu/images/buildings/golf_course_maintenance_office_167.png
Boat House,553.75,1964,1970,-76.95436808,38.99433391,https://terpfootprints.umd.edu/images/buildings/boat_house_169.png
House 170,10459,1959,2009,-76.93518042,38.981265,https://terpfootprints.umd.edu/images/buildings/house_170_170.png
House 171,10445,1960,2012,-76.93562028,38.98136041,https://terpfootprints.umd.edu/images/buildings/house_171_171.png
House 172,11712,1960,2009,-76.9360621,38.98142111,https://terpfootprints.umd.edu/images/buildings/house_172_172.png
House 173,10273,1964,2010,-76.93631546,38.98076642,https://terpfootprints.umd.edu/images/buildings/house_173_173.png
House 174,10372,1963,2010,-76.93588154,38.98065947,https://terpfootprints.umd.edu/images/buildings/house_174_174.png
House 175,11662,1963,2009,-76.93543794,38.98058969,https://terpfootprints.umd.edu/images/buildings/house_175_175.png
House 176,11833,1964,2012,-76.93524849,38.98090079,https://terpfootprints.umd.edu/images/buildings/house_176_176.png
Union Lane Parking Garage,113509.16,1971,1970,-76.94578615,38.98855585,https://terpfootprints.umd.edu/images/buildings/union_lane_parking_garage_179.png
Mfri Drill Tower,4386.4,1989,1970,-76.92990035,38.98356068,https://terpfootprints.umd.edu/images/buildings/mfri_drill_tower_195.png
