name,area,built,renovated,longitude,latitude,image
Sample Preparation Building (paint Branch),912,2005,1970,-76.94077463,39.00693631,https://terpfootprints.umd.edu/images/buildings/sample_preparation_building_paint_branch_394.png
Turfgrass Research Facility (paint Branch),4500,1999,1970,-76.94118901,39.00698737,https://terpfootprints.umd.edu/images/buildings/turfgrass_research_facility_paint_branch_395.png
Equipment Storage Building (paint Branch),7990.64,1999,1970,-76.94038035,39.0069478,https://terpfootprints.umd.edu/images/buildings/equipment_storage_building_paint_branch_396.png
Agricultural Chemical Storage Building (pt Branch),1500,1999,1970,-76.94078377,39.0070681,https://terpfootprints.umd.edu/images/buildings/agricultural_chemical_storage_building_pt_branch_397.png
Research Greenhouse,66369.52,2003,1970,-76.9429152,38.99723522,https://terpfootprints.umd.edu/images/buildings/research_greenhouse_398.png
Aquatic Center,5426.02,1998,1970,-76.94649853,38.99338592,https://terpfootprints.umd.edu/images/buildings/aquatic_center_399.png
South Gate (regents Dr And Route 1),95.83,1998,1970,-76.93887258,38.98238291,https://terpfootprints.umd.edu/images/buildings/south_gate_regents_dr_and_route_1_401.png
Terrapin Trail Parking Garage,373252.78,2001,1970,-76.94334036,38.99502118,https://terpfootprints.umd.edu/images/buildings/terrapin_trail_parking_garage_403.png
Mowatt Lane Parking Garage,502031.27,2003,1970,-76.94556824,38.98183533,https://terpfootprints.umd.edu/images/buildings/mowatt_lane_parking_garage_404.png
Computer Science Instructional Center,38698.95,2002,1970,-76.9361683,38.98998889,https://terpfootprints.umd.edu/images/buildings/computer_science_instructional_center_406.png
Maryland Softball Stadium,3724.66,2002,1970,-76.93986797,38.99621292,https://terpfootprints.umd.edu/images/buildings/maryland_softball_stadium_409.png
Bioscience Research Building,141019.44,2007,1970,-76.94298285,38.98905848,https://terpfootprints.umd.edu/images/buildings/bioscience_research_building_413.png
Field Hockey And Lacrosse Complex,6195.18,2004,1970,-76.93689759,38.9946983,https://terpfootprints.umd.edu/images/buildings/field_hockey_and_lacrosse_complex_414.png
Physical Sciences Complex,171772.44,2013,1970,-76.94145438,38.99092916,https://terpfootprints.umd.edu/images/buildings/physical_sciences_complex_415.png
Knight Hall,55861.17,2010,1970,-76.94860641,38.98684725,https://terpfootprints.umd.edu/images/buildings/knight_hall_417.png
Oakland Hall,233436.03,2011,1970,-76.94944307,38.9938556,https://terpfootprints.umd.edu/images/buildings/oakland_hall_419.png
Maryland Baseball Annex,740.29,2006,1970,-76.94549093,38.98990606,https://terpfootprints.umd.edu/images/buildings/maryland_baseball_annex_420.png
Cspac Grounds Storage Facility,917.5,2009,1970,-76.9518655,38.99030706,https://terpfootprints.umd.edu/images/buildings/cspac_grounds_storage_facility_422.png
Grounds Storage Facility,240,2009,1970,-76.9463567,38.98442159,https://terpfootprints.umd.edu/images/buildings/grounds_storage_facility_423.png
Shuttle Bus Facility,10946.74,2012,1970,-76.93709373,38.99551349,https://terpfootprints.umd.edu/images/buildings/shuttle_bus_facility_424.png
Prince Frederick Hall,187060.28,2014,1970,-76.9457874,38.98311214,https://terpfootprints.umd.edu/images/buildings/prince_frederick_hall_425.png
Heavy Equipment Building,7136.18,2012,1970,-76.94284904,38.99601738,https://terpfootprints.umd.edu/images/buildings/heavy_equipment_building_426.png
Fleet Services Building,864,2012,1970,-76.92469631,38.97613925,https://terpfootprints.umd.edu/images/buildings/fleet_services_building_427.png
Wye Oak Building,13520.35,2013,1970,-76.94369681,38.99593858,https://terpfootprints.umd.edu/images/buildings/wye_oak_building_428.png
A. James Clark Hall,182439.94,2017,1970,-76.93773478,38.99197835,https://terpfootprints.umd.edu/images/buildings/a_james_clark_hall_429.png
Metzerott House (4103),1965,1953,1970,-76.93826245,38.99956904,https://terpfootprints.umd.edu/images/buildings/metzerott_house_4103_430.png
